ID,Label,Definition,Classification,symptoms
http://purl.obolibrary.org/obo/DOID_10933,obsessive-compulsive disorder,"An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions).|Anxiety disorder characterized by recurrent and persistent thoughts and feelings and repetitive, ritualized behaviors.

|
Is characterized by obsessions (intrusive, repetitive thoughts or images that produces anxiety) or compulsions (the need to perform acts or to dwell on thoughts to reduce anxiety). Frequently this two occur together, although is possible to occur separately.

In this disorder are described the inability to resist or rid oneself of uncontrollable, alien, and often unacceptable thoughts or to keep from performing ritualistic acts over and over again arouses intense anxiety.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.

The obsessions or compulsions in this disorder Cause marked distress, are time consuming (take longer than 1 h a day), or greatly interfere with the person's normal routine, occupational (or academic) functioning, or usual social activities or relationships.

""Obsessive-compulsive disorder"" Dan J Stein",301.4,"
The characteristics of Obsessive-compulsive disorder are: 
- Intrusive thoughts or images (obsessions)
- Repetitive or ritualistic actions (compulsions)

The most frequent symptoms in this disorder are:
- contamination concerns with consequent washing
- concerns about harm to self or others with consequent checking.

Additional subgroups has been shown such as a cluster of symptoms of symmetry concerns and arranging rituals, and a cluster focused on hoarding.


""Obsessive-compulsive disorder"". Dan J Stein"
http://purl.obolibrary.org/obo/MFOMD_0000096,shared psychotic disorder,"Is characterised by the presence of a delusion in an individual who is influenced by someone else who has a longer-standing delusion with similar content.

DSM-IV-TR (american Psychiatric Association)|
Criterion A for delusional disorder no longer has the requirement that the delusions must be nonbizarre. DSM-5 no longer separates delusional disorder from shared delusional disorder. If criteria are met for delusional disorder then that diagnosis is made. 

(Highlights of Changes from DSM-IV-TR to DSM-5, American Psychiatric Publishing)",297.3,
http://purl.obolibrary.org/obo/GO_0046960,sensitization,"An increased in a behavioral response to a repeated stimulus. For example, a shock to the tail of the marine snail Aplysia, to which the snail responds by withdrawing its gill, will result in increased gill withdrawal the next time the skin is touched.",,
http://purl.obolibrary.org/obo/MF_0000065,openness to experience,"A personality trait manifesting itself in individual behavioral characteristics that are perceived as revealing, curiosity, an appreciation of novelty and variety of experiences and ideas, invention, and unpredictability.|Associated adjectives: artistic, curious, imaginative, insightful, original, and wide interests.",,
http://purl.obolibrary.org/obo/DOID_1229,paranoid schizophrenia,"A schizophrenia that involves delusions or auditory hallucinations of persecution or being plotted against without thought disorder, disorganized behavior, or affective flattening.|
Is the most common form of schizophrenia, and is characterized by the preoccupations with one or more systematized delusions or auditory hallucinations and by the absence of such symptoms as disorganized speech and behaviour or flat affect. 

The deluded individuals believe that others are plotting against them, are talking about them, or are out to harm them in some way. They are constantly suspicious, and their interpretations of the behaviour and motives of others are distorted.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.|
At the DSM-5, the DSM-IV subtypes of schizophrenia (i.e., paranoid, disorganized, catatonic, undifferentiated, and residual types) are eliminated due to their limited diagnostic stability, low reliability, and poor validity. These subtypes also have not been shown to exhibit distinctive patterns of treatment response or longitudinal course. 

(Highlights of Changes from DSM-IV-TR to DSM-5, American Psychiatric Publishing)",29530,
http://purl.obolibrary.org/obo/OGMS_0000102,injury,A disorder that involves some structural damage that is immediately caused by a catastrophic external force.,,
http://purl.obolibrary.org/obo/DOID_12128,pica disease,An eating disorder that is characterized by an appetite for non-nutritive substances or food ingredients.,,
http://purl.obolibrary.org/obo/NBO_0000038,behavioral control of excretion,"""The elimination by an organism of the waste products that arise as a result of metabolic activity. These products include water, carbon dioxide (CO2), and nitrogenous compounds."" [wikipedia:Excretion]",,
http://purl.obolibrary.org/obo/NBO_0000027,grooming behavior,"""Behavior related to the cleaning or maintainance of one's body or appearance."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000376,steering behavior,"""Behavior related to the mechanical alteration of the locomotor pattern through which the animal adjusts its position."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000387,barotaxis,"""Locomotory orientation in response to pressure."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/DOID_3312,bipolar disorder,"A mood disorder that involves alternating periods of mania and depression.|Bipolar disease is a mental disease that leads to disruptive mood swings encompassing manic and depressive moods.             |Bipolar disorder or bipolar affective disorder (historically known as manic-depressive disorder) is a psychiatric diagnosis for a mood disorder in which people experience disruptive mood swings that encompass a frenzied state known as mania (or hypomania) and, usually, symptoms of depression. Bipolar disorder is defined by the presence of one or more episodes of abnormally elevated energy levels, cognition, and mood with or without one or more depressive episodes.

At the lower levels of mania, such as hypomania, individuals may appear energetic and excitable. At a higher level, individuals may behave erratically and impulsively, often making poor decisions due to unrealistic ideas about the future, and may have great difficulty with sleep. At the highest level, individuals can show psychotic behavior, including violence. Individuals who experience manic episodes also commonly experience depressive episodes, or symptoms, or a mixed state in which features of both mania and depression are present at the same time. These events are usually separated by periods of ""normal"" mood; but, in some individuals, depression and mania may rapidly alternate, which is known as rapid cycling. Severe manic episodes can sometimes lead to such psychotic symptoms as delusions and hallucinations.

The lifetime prevalence of all types of bipolar disorder is thought to be about 4% (meaning that about 4% of people experience some of the characteristic symptoms at some point in their life). Prevalence is similar in men and women and, broadly, across different cultures and ethnic groups. Genetic factors contribute substantially to the likelihood of developing bipolar disorder, and environmental factors are also implicated. Bipolar disorder is often treated with mood stabilizing medications and psychotherapy. In serious cases, in which there is a risk of harm to oneself or others, involuntary commitment may be used. These cases generally involve severe manic episodes with dangerous behavior or depressive episodes with suicidal ideation. There are widespread problems with social stigma, stereotypes, and prejudice against individuals with a diagnosis of bipolar disorder. People with bipolar disorder exhibiting psychotic symptoms can sometimes be misdiagnosed as having schizophrenia.

[Wikipedia: http://en.wikipedia.org/wiki/Bipolar_disorder]|DSM offers several different codes for bipolar, disambiguating the type of the most recent episode: 

296.8 	Bipolar Disorder NOS
296.56 	Bipolar I Disorder, Most Recent Episode Depressed, In Full Remission
296.55 	Bipolar I Disorder, Most Recent Episode Depressed, In Partial Remission
296.51 	Bipolar I Disorder, Most Recent Episode Depressed, Mild
296.52 	Bipolar I Disorder, Most Recent Episode Depressed, Moderate
296.54 	Bipolar I Disorder, Most Recent Episode Depressed, Severe With Psychotic Features
296.53 	Bipolar I Disorder, Most Recent Episode Depressed, Severe Without Psychotic Features
296.5 	Bipolar I Disorder, Most Recent Episode Depressed, Unspecified
296.4 	Bipolar I Disorder, Most Recent Episode Hypomanic
296.46 	Bipolar I Disorder, Most Recent Episode Manic, In Full Remission
296.45 	Bipolar I Disorder, Most Recent Episode Manic, In Partial Remission
296.41 	Bipolar I Disorder, Most Recent Episode Manic, Mild
296.42 	Bipolar I Disorder, Most Recent Episode Manic, Moderate
296.44 	Bipolar I Disorder, Most Recent Episode Manic, Severe With Psychotic Features
296.43 	Bipolar I Disorder, Most Recent Episode Manic, Severe Without Psychotic Features
296.4 	Bipolar I Disorder, Most Recent Episode Manic, Unspecified
296.66 	Bipolar I Disorder, Most Recent Episode Mixed, In Full Remission
296.65 	Bipolar I Disorder, Most Recent Episode Mixed, In Partial Remission
296.61 	Bipolar I Disorder, Most Recent Episode Mixed, Mild
296.62 	Bipolar I Disorder, Most Recent Episode Mixed, Moderate
296.64 	Bipolar I Disorder, Most Recent Episode Mixed, Severe With Psychotic Features
296.63 	Bipolar I Disorder, Most Recent Episode Mixed, Severe Without Psychotic Features
296.6 	Bipolar I Disorder, Most Recent Episode Mixed, Unspecified
296.7 	Bipolar I Disorder, Most Recent Episode Unspecified
296.06 	Bipolar I Disorder, Single Manic Episode, In Full Remission
296.05 	Bipolar I Disorder, Single Manic Episode, In Partial Remission
296.01 	Bipolar I Disorder, Single Manic Episode, Mild
296.02 	Bipolar I Disorder, Single Manic Episode, Moderate
296.04 	Bipolar I Disorder, Single Manic Episode, Severe With Psychotic Features
296.03 	Bipolar I Disorder, Single Manic Episode, Severe Without Psychotic Features
296 	Bipolar I Disorder, Single Manic Episode, Unspecified
296.89 	Bipolar II Disorder ",,
http://purl.obolibrary.org/obo/NBO_0000398,plantar reflex,"""A reflex elicited when the sole of the foot is stimulated with a blunt instrument."" [wikipedia:Plantar_reflex]",,
http://purl.obolibrary.org/obo/NBO_0000074,yawning,,,
http://purl.obolibrary.org/obo/NBO_0000085,depression behavior,"""Emotional behavior related to a state of low mood  and aversion to activity."" [wikipedia:Depression]",,
http://purl.obolibrary.org/obo/NBO_0000096,agoraphobia behavior,"""A phobia characterised by fear of open spaces."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/behavior.owl/NBO_0003104,regulation of behavioral response to addictive substance,"""Any process that modulates the frequency, rate or extent of behavioral response to chemiucal stimulus."" [NBOC:GVG] ",,
http://purl.obolibrary.org/obo/DOID_0060132,amusia,"An agnosia that is a loss of the ability to recognize musical notes, rhythms, and intervals.",,
http://purl.obolibrary.org/obo/DOID_599,specific phobia,"Extreme fear of a specific object or situation. 


Understanding abnormal behavior&quot;. David Sue, Derald Wing Sue, Stanley Sue.|A phobic disorder that is characterized by an unreasonable or irrational fear related to exposure to specific objects or situations.|
Exposure to the stimulus nearly always produces intense anxiety or a panic attack. Specific phobias are about twice as prevalent in women as in men and are rearely incapacitating. 

The degree to which they interfere with daily life depends on how easy is to avoid the feared object or situation. The phobias often begin during childhood.

Is plausible that phobias may result from an interaction of biological, cognitive, and environmental factors.

According to the psychodynamic viewpoint, phobias are expressions of wishes, fears and fantasies that are unacceptable to the patient. these unconscious conflicts are displaced (or shifted) from their original internal source to an external object or situation; the person blocks from consciousness the real source of anxiety and is able to avoid the dangerous impulse that the phobia represents.


DSM-IV-TR divides specific phobias into five types:

1.- Animal (such as spiders or snakes)
2.- Natural environmental ( such as earthquakes, thunder, water)
3.- Blood/injections or injury; individuals with this type of phobia, as opposed to other phobias, are likely to have a history of fainting in the phobic situation.
4.- Situational (includes fear of traveling in cars, planes, and elevators and fear of heights, tunnels, and bridges)
5.- Other (phobic avoidance of situations that may lead to choking, vomiting, or contracting an illness) 


""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.",30029,"
- Excessive or irrational fear of a specific object or situation.

- Avoiding the object or situation or enduring it with great distress.

- Physical symptoms of anxiety or a panic attack, such as a pounding heart, nausea or diarrhea, sweating, trembling or shaking, numbness or tingling, problems with breathing (shortness of breath), feeling dizzy or lightheaded, feeling like you are choking.

- Anticipatory anxiety, which involves becoming nervous ahead of time about being in certain situations or coming into contact with the object of your phobia. (For example, a person with a fear of dogs may become anxious about going for a walk because he or she may see a dog along the way.)

Children with a specific phobia may express their anxiety by crying, clinging to a parent, or throwing a tantrum.

http://www.webmd.com/anxiety-panic/specific-phobias"
http://purl.obolibrary.org/obo/behavior.owl/NBO_0002916,regulation of cocaine consumption preference,"""A regulation of consumption of an addictive sustance behavior process associated with the preference over cocaine consumption. "" [NBO:GVG]",,
http://purl.obolibrary.org/obo/OGMS_0000069,clinically abnormal,,,
http://purl.obolibrary.org/obo/NBO_0001845,consumption behavior,"""Behavior related to the intake of substances."" [NBOC:GVG]",,
http://purl.obolibrary.org/obo/MFOMD_0000145,hypomanic episode,"
Is defined as a distinct period during which there is an abnormally and persistently elevated, expansive, or irritable mood that last at least 4 days.|
This period of abnormal mood must be accompanied by at least three additional symptoms from a list that includes inflated self-esteem or grandiosity (nondelusional), decreased need for sleep, pressure of speech, flight of Ideas, distractibility, increased involvement in goal-directed activities or psychomotor agitation, and excessive involvement in pleasurable activities that have a high potential for painful consequences. 


DSM-IV-TR (american Psychiatric Association)",,
http://purl.obolibrary.org/obo/NBO_0000304,memory loss behavior,"""Behavior related with the gradual loss of information and experiences stored in the memory of an organism."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/MFOMD_0000188,dysphoria,"Feeling of emotional and mental discomfort as a symptom of discontentment, restlessness, dissatisfaction, malaise, depression, anxiety or indifference.


http://en.wikipedia.org/wiki/Dysphoria ",,
http://purl.obolibrary.org/obo/MFOMD_0000157,catatonic excitement,"Catatonic behavior marked by agitation and seemingly pointless movement.

http://www.minddisorders.com/Br-Del/Catatonic-disorders.html",,
http://purl.obolibrary.org/obo/DOID_11120,psychologic dyspareunia,,,
http://purl.obolibrary.org/obo/MFOMD_0000156,suicidal ideations,"Is a medical term for thoughts about or an unusual preoccupation with suicide. 

http://en.wikipedia.org/wiki/Suicidal_ideation",,
http://purl.obolibrary.org/obo/DOID_10934,multiple personality disorder,"A dissociative disorder that involves the simultaneous display of multiple distinct identities or personalities.|Dissociative identity disorder(Formerly Multiple personality disorder) Is a dramatic condition in which two or more relatively independent personalities appear to exist in one person.


Understanding abnormal behavior. David Sue, Derald Wing Sue, Stanley Su|
The relationship among the multiple personalities in the individual are often complex. Only one personality is evident at any one time, and the alternation of personalities usually produces periods of amnesia in the personality that has been displaces. However, one or several personalities may be aware of the existence of the others. The personalities usually differ from one another and sometimes are direct opposite.

The disturbance is not due to the direct physiological effects of a substance or a general medical condition.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.
DSM-IV-TR (american Psychiatric Association)
",30014,
http://purl.obolibrary.org/obo/MFOMD_0000199,social dysfunction,"The inability to perform in the interaction with other people. 
",,
http://purl.obolibrary.org/obo/MFOMD_0000134,conditioned response,"In classical conditioning, the learned response made to a previously neutral stimulus  that has acquired some of the properties of another stimulus with which it has been paired.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.",,
http://purl.obolibrary.org/obo/NBO_0000095,fear behavior towards living things,"""An emotional behavior related to a feeling of uneasiness or nervousness in respect to a living thing."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000741,aggressive behavior by means,,,
http://purl.obolibrary.org/obo/OGMS_0000092,life course,A process which has as parts all the processes in which a given organism is participant.,,
http://purl.obolibrary.org/obo/DOID_0060243,stuttering,An articulation disorder characterized by involuntary sound repetition and disruption or blocking of speech.|NT MGI.,,
http://purl.obolibrary.org/obo/DOID_13352,ego-dystonic sexual orientation,"A gender identity disorder that is characterized by having a sexual orientation or an attraction that is at odds with one's idealized self-image, causing anxiety and a desire to change one's orientation or become more comfortable with one's sexual orientation.",,
http://purl.obolibrary.org/obo/NBO_0000327,somatic sensation related behavior,"""Behavior related to the sensations arising from the skin and from the muscles, tendons, and joints."" [OBP:GVG]",,
http://purl.obolibrary.org/obo/MFOMD_0000001,mental disease,"A disease which is a disposition to undergo pathological mental processess.|The Mental Disease ontology follows the strategy of the Ontology of General Medical Science in distinguishing mental disease, mental disorder, diagnosis of mental disease, mental disease course and pathological mental process as separately distinguishable entities. Here is a quick guide to how these terms are used in this ontology. 

A mental disease is an underlying disposition to pathological mental processes. 

A mental disease course is the sum of the pathological mental processes that are caused by the underlying disease. 

A pathological mental process is a pathological process caused by a mental disease. 

A mental disorder is a physical disorder, for example, dysfunctional neurotransmitter receptors, altered brain connectivity, missing or damaged brain parts etc.  The disorder is the material basis for the disease and it is by virtue of the disorder that the disease causes the pathological processes that form part of the disease course. 

A diagnosis of a mental disease is a clinician's statement that a patient has a mental disease by virtue of observable manifestations of that disease, such as behaviour, observable aspects of the underlying disorder, or self-reported experiences. 




",,
http://purl.obolibrary.org/obo/NBO_0000314,visual behavior,"""Behavior related to the actions or reactions of an organism in response to a visual stimulus."" [GO:0007632]",,
http://purl.obolibrary.org/obo/NBO_0000303,paternal aggressive behavior,"""A domineering, assault posture and/or hostile physical action towards animals exhibited by a father or attending male."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000350,graphomotor coordination,"""Coordination involved in writing."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000361,gait,"""The pattern of movement of the limbs of animals, characterized by elements of progression, stability, speed and length over the ground."" [MP:0001406]",,
http://purl.obolibrary.org/obo/MF_0000050,linguistic capability,,,
http://purl.obolibrary.org/obo/GO_0007605,sensory perception of sound,"The series of events required for an organism to receive an auditory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Sonic stimuli are detected in the form of vibrations and are processed to form a sound.",,
http://purl.obolibrary.org/obo/MFOMD_0000099,cataplexy,"
a sudden and transient episode of loss of muscle tone accompanied by full conscious awareness, often triggered by emotions such as laughing, crying, terror, etc.


http://en.wikipedia.org/wiki/Cataplexy
",,
http://purl.obolibrary.org/obo/NBO_0000740,aggressive behavior by intent,,,
http://purl.obolibrary.org/obo/MFOMD_0000002,internet addiction,A process addiction in which the subject makes compulsive use of Internet facilities.,,
http://purl.obolibrary.org/obo/NBO_0000326,thermosensory behavior,"""Behavior related to environmental temperature."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000337,pressure related behavior,,,
http://purl.obolibrary.org/obo/DOID_2033,communication disorder,A specific developmental disorder that involves specific developmental disorders of speech and language.,,
http://purl.obolibrary.org/obo/NBO_0000612,communication behavior,"""A social behavior related to the activity of conveying information."" [wikipedia:Communication]",,
http://purl.obolibrary.org/obo/IAO_0000030,information content entity,An information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity,,
http://purl.obolibrary.org/obo/NBO_0000571,mutlidirectional head movement,"""Movement of the head in multiple directions."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/MFOMD_0000147,nightmare,"Dream that can cause a strong emotional response from the mind, typically fear or horror, but also despair, anxiety and great sadness. The dream may contain situations of danger, discomfort, psychological or physical terror. |
Nightmares can have physical causes such as sleeping in an uncomfortable or awkward position, having a fever, or psychological causes such as stress, anxiety, and ingestion of opioid drugs.

http://en.wikipedia.org/wiki/Nightmare",,
http://purl.obolibrary.org/obo/NBO_0001763,behavioral response to alcohol,"""Behavior as a result of sensitivity to cocaine alcohol."" [NBOC:GVG]",,
http://purl.obolibrary.org/obo/GO_0007606,sensory perception of chemical stimulus,"The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",,
http://purl.obolibrary.org/obo/NBO_0000233,motivation behavior,"""Behavior related to the tendency of an organism to maintain internal equilibrium."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/DOID_251,alcohol-induced mental disorder,,,
http://purl.obolibrary.org/obo/NBO_0000222,conditioned place preference behavior,,,
http://purl.obolibrary.org/obo/OGMS_0000083,physical examination finding,TODO: Define.,,
http://purl.obolibrary.org/obo/MFOMD_0000158,catatonic stupor,"Catatonic behavior with markedly slowed motor activity, often to the point of immobility and seeming unawareness of the environment.


http://www.minddisorders.com/Br-Del/Catatonic-disorders.html",,
http://purl.obolibrary.org/obo/MFOMD_0000159,catatonic rigidity,"Catatonic behavior in which the person assumes a rigid position and holds it against all efforts to move him or her.


http://www.minddisorders.com/Br-Del/Catatonic-disorders.html",,
http://purl.obolibrary.org/obo/MF_0000012,arousal,"Physiological and psychological state of being awake or reactive to stimuli.


http://en.wikipedia.org/wiki/Arousal",,
http://purl.obolibrary.org/obo/behavior.owl/NBO_0002950,angular vestibuloocular reflex,A vestibular reflex by which a response to an angular acceleration stimulus begins with an afferent nerve impulse from a receptor in the semi-circular canal and ends with the compensatory action of eye muscles. Signaling never reaches a level of consciousness. [GOC:dph],,
http://purl.obolibrary.org/obo/DOID_303,substance-related disorder,"The substance-related disorders include disorders related to taking of a drug of abuse (including alcohol), to the side effects of a medication, and to toxin exposure.

DSM-IV-TR (american Psychiatric Association)
|A disease of mental health involving the abuse or dependence on a substance that is ingested in order to produce a high, alter one's senses, or otherwise affect functioning.",,
http://purl.obolibrary.org/obo/NBO_0000636,protective behavior,"""Behavior related to the activity seen in animals exposed to potential danger in which they exhibit the tendency to act defensively."" [NBO:SD]",,
http://purl.obolibrary.org/obo/DOID_252,alcoholic psychosis,,,
http://purl.obolibrary.org/obo/NBO_0000188,non-declarative memory,"""Non-declarative memory type of memory, which does not need to involve conscious awareness in the act of recollection."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000177,non-associative learning,"""A decrease in a behavioral response to a repeated stimulus."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/MFOMD_0000136,panic attack,"Period of intense fear or apprehension that are of sudden onset and of variable duration from minutes to hours.


http://en.wikipedia.org/wiki/Panic_attack",,
http://purl.obolibrary.org/obo/NBO_0000166,circadian rhythm,"""Endogenously driven roughly 24-hour cycle in biochemical, physiological, or behavioral processes."" [GOC:bf]",,
http://purl.obolibrary.org/obo/NBO_0002169,regulation of consumption behavior,"""Any process that modulates the frequency, rate or extent of consumption behavior, the specific actions or reactions of an organism in response to external or internal stimuli."" [NBOC:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000155,offspring retrieval,"""Behavior related to the parent's tendency to collect stray offspring and return them to a defined location."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/behavior.owl/NBO_0002948,regulation of mating preference,"""A regulation of sexual activity process associated with the preference over a males or females."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/NBO_0000315,optokinetic behavior,"""Behavior related to the actions or reactions of an organism pertaining to movement of the eyes and of objects in the visual field, as in nystagmus."" [GO:0007634]",,
http://purl.obolibrary.org/obo/NBO_0000513,climbing stairs,"""Behavior related to the ascending stairs."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/DOID_0060140,cortical deafness,An agnosia that is a loss of the ability to perceive any auditory information but whose hearing is intact.,,
http://purl.obolibrary.org/obo/NBO_0000078,post-mating behavior,"""Behavior related to the specific actions or reactions of an organism following mating."" [GOC:bf]",,
http://purl.obolibrary.org/obo/MFOMD_0000155,grossly disorganized behavior,"Behavior that may manifest itself in a variety of ways, ranging from childlike silliness to unpredictable agitation.
|
The person may appear markedly disheveled, may dress in an unusual manner (i.e., wearing multiple overcoats, scarves, and gloves on a hot day), or may display clearly inappropriate sexual behavior (e.g., public masturbation) or unpredictable and untriggered agitation (e.g., shouting or swearing).",,
http://purl.obolibrary.org/obo/NBO_0000560,barbering behavior,"""Behavior relating to the plucking of fur/hair or whiskers/vibrissae."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/DOID_0050587,trichotillomania,An impulse control disorder that involves the uncontrollable plucking of ones hair.|OMIM mapping confirmed by DO. [SN].,,
http://purl.obolibrary.org/obo/DOID_13487,childhood disintegrative disease,"A pervasive developmental disorder that is a rare condition characterized by late onset (>3 years of age) of developmental delays in language, social function, and motor skills where children who have had previously normal development who then appear to regress.",,
http://purl.obolibrary.org/obo/DOID_12883,hypochondriasis,"Preoccupation with fears of having, or the idea that one has, a serious disease based on a misinterpretation of one or more bodily signs or symptoms.


DSM-IV-TR (american Psychiatric Association)
|A somatoform disorder that involves an excessive preoccupation or worry about having a serious illness.|
The preoccupation in Hypochondriasis may be with bodily functions; minor physical abnormalities; or with vague and ambiguous physical sensations. The person attributes this symptoms or signs to the suspected disease and is very concerned with their meaning, authenticity, and aetiology. Repeated physical examinations, diagnostic test, and reassurance from the physician do little to allay the concern about bodily disease or affliction. 

Individuals with Hypochondriasis may become alarmed by reading or hearing about disease, knowing someone who becomes sick, or from observations, sensations, or occurrences within their own bodies. 

Concern about the feared illness often becomes a central feature of the individual's self-image, a topic of social discourse, and response to life stresses.

DSM-IV-TR (american Psychiatric Association)

Some several predisposing factors of hypocondriasis included a history of physical illness, parental attention to somatic symptoms, low pain threshold, or greater sensitivity to somatic cues.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.",300.7,"
- Having a long-term intense fear or anxiety about having a serious disease or health condition
- Worrying that minor symptoms or bodily sensations mean you have a serious illness
- Seeing doctors repeated times or having involved medical exams 
- Frequently switching doctors — if one doctor tells you that you aren't sick, you may not believe it and seek out other opinions
- Continuously talking about your symptoms or suspected diseases with family and friends
- Obsessively doing health research
- Frequently checking your body for problems
- Frequently checking your vital signs
- Thinking you have a disease after reading or hearing about it

http://www.mayoclinic.com/health/hypochondria/DS00841/DSECTION=symptoms"
http://purl.obolibrary.org/obo/OGMS_0000107,ancillary health care process,"A planned process that has the objective to support the objective of a health care process without directly involving the treatment, diagnosis, or prevention of disease or injury of a patient.
",,
http://purl.obolibrary.org/obo/NBO_0000211,conditioned taste aversion,,,
http://purl.obolibrary.org/obo/NBO_0000200,priming,"""An implicit memory effect in which exposure to a stimulus influences response to a later stimulus."" [NBO:GVG]",,
http://purl.obolibrary.org/obo/DOID_8689,anorexia nervosa,"An eating disorder characterized by refusal to maintain a healthy body weight, and an obsessive fear of gaining weight due to a distorted self image.|Disorder characterised by a refusal to maintain a minimally normal body weight, the individual is intensely afraid of gaining weight, and exhibits a significant disturbance in the perception of the shape or size of his or her body.

DSM-IV-TR (american Psychiatric Association)|
People with anorexia see themselves as overweight even though they are dangerously thin. The process of eating becomes an obsession to them. Unusual eating habits develop, such as avoiding what they perceive as high caloric food and meals, picking out a few foods and eating only these in small quantities, or carefully weighing and portioning food. 

People with anorexia may repeatedly check their body weight and many engage in other techniques to control their weight, such as intense and compulsive exercise or purging by means of vomiting and abuse of laxatives, enemas, and diuretics. 

http://www.psychologytoday.com/conditions/anorexia-nervosa",307.1,
http://purl.obolibrary.org/obo/DOID_0060137,auditory agnosia,An agnosia that is a loss of the ability to distinguishing environmental and non-verbal auditory cues including difficulty distinguishing speech from non-speech sounds even though hearing is usually normal.,,
