idPessoa,data_hora,trabalho_proprio,historico_familiar,tratamento,interferencia_trabalho,trabalho_remoto,empresa_ti,conhece_opcoes,programa_saude,busca_tratamento,anonimidade,licenca_medica,mental_consequencia,fisica_consequencia,mental_entrevista,fisica_entrevista,mental_fisica,houve_consequencias
19,2014-08-27 11:34:53,Yes,Yes,No,Sometimes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,No,Yes,Yes,Yes
20,2014-08-27 11:35:08,Yes,Yes,No,NA,Yes,Yes,No,Yes,No,Yes,Somewhat easy,No,No,Maybe,Maybe,Don't know,No
21,2014-08-27 11:35:12,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No
22,2014-08-27 11:35:24,Yes,No,No,Never,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,No,Maybe,Yes,No
23,2014-08-27 11:35:48,No,No,Yes,Often,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Maybe,No,No
24,2014-08-27 11:36:24,No,No,Yes,Never,No,No,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Yes,Don't know,No
25,2014-08-27 11:36:48,No,Yes,Yes,Rarely,No,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,No,Yes,Don't know,No
26,2014-08-27 11:37:08,No,Yes,Yes,Sometimes,No,No,Yes,No,Don't know,No,Very easy,Yes,No,No,Yes,No,No
27,2014-08-27 11:37:23,No,No,No,NA,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,No,Don't know,No
28,2014-08-27 11:37:59,No,Yes,Yes,Rarely,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Yes,No
29,2014-08-27 11:38:12,No,No,Yes,Sometimes,Yes,Yes,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,No,No,No,No
30,2014-08-27 11:38:18,No,No,No,Sometimes,No,Yes,No,No,No,Don't know,Very difficult,Yes,Maybe,No,Maybe,No,No
31,2014-08-27 11:39:03,No,No,No,Never,Yes,Yes,No,No,No,Don't know,Don't know,Yes,Yes,No,Maybe,No,No
32,2014-08-27 11:38:55,Yes,Yes,No,Rarely,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,Yes
33,2014-08-27 11:39:31,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,Yes,Somewhat easy,Maybe,No,No,Yes,Don't know,No
34,2014-08-27 11:39:36,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Maybe,Yes,Don't know,No
35,2014-08-27 11:40:51,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Maybe,Yes,No
36,2014-08-27 11:41:17,No,No,Yes,Rarely,No,Yes,Yes,No,No,Don't know,Very easy,No,No,Maybe,Maybe,Don't know,No
37,2014-08-27 11:41:37,No,No,No,Rarely,No,Yes,No,No,No,Don't know,Very easy,Yes,Maybe,No,No,Don't know,No
38,2014-08-27 11:41:50,No,No,No,NA,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,No,No,Maybe,No,No
39,2014-08-27 11:42:08,No,No,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,No,Maybe,Don't know,No
40,2014-08-27 11:42:15,No,No,Yes,Rarely,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No
41,2014-08-27 11:42:25,No,No,Yes,Sometimes,No,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe,No,Yes,No,Yes
42,2014-08-27 11:42:31,No,No,No,NA,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes,No,Maybe,Don't know,No
43,2014-08-27 11:43:07,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,Yes,No
44,2014-08-27 11:43:10,No,No,No,Often,No,Yes,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No
45,2014-08-27 11:43:22,No,No,Yes,Sometimes,No,Yes,No,No,No,Don't know,Don't know,No,No,No,Maybe,Don't know,No
46,2014-08-27 11:43:36,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,No,No,Yes,No
47,2014-08-27 11:43:45,No,No,No,NA,No,Yes,Not sure,No,No,Don't know,Don't know,No,Maybe,Maybe,Yes,Don't know,No
48,2014-08-27 11:43:48,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,Don't know,No
49,2014-08-27 11:43:56,Yes,No,No,Sometimes,No,Yes,Yes,Yes,No,Don't know,Don't know,No,No,No,No,Yes,No
50,2014-08-27 11:44:43,No,Yes,Yes,Rarely,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
51,2014-08-27 11:44:55,No,Yes,Yes,Often,No,Yes,Yes,No,No,Yes,Very difficult,Maybe,No,No,Maybe,Don't know,No
52,2014-08-27 11:45:32,No,No,No,NA,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Don't know,No
53,2014-08-27 11:45:33,No,No,No,NA,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Maybe,Maybe,Don't know,No
54,2014-08-27 11:45:51,No,No,No,Never,Yes,Yes,Not sure,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
55,2014-08-27 11:46:36,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,No,No,No,Maybe,Don't know,No
56,2014-08-27 11:46:49,No,Yes,Yes,Rarely,No,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,Don't know,No
57,2014-08-27 11:46:55,No,Yes,No,NA,Yes,Yes,No,No,No,Don't know,Somewhat easy,No,No,No,No,Yes,No
58,2014-08-27 11:47:10,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,Don't know,Don't know,No,Maybe,Yes,Yes,No,No
59,2014-08-27 11:47:33,No,No,No,NA,No,No,No,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,Don't know,No
60,2014-08-27 11:47:56,No,Yes,Yes,Often,Yes,Yes,No,No,No,No,Somewhat difficult,Yes,No,No,Maybe,Don't know,No
61,2014-08-27 11:48:57,No,Yes,Yes,Sometimes,No,No,No,No,Don't know,Don't know,Don't know,Yes,Maybe,No,Maybe,Don't know,Yes
62,2014-08-27 11:49:51,No,No,Yes,Sometimes,Yes,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No
63,2014-08-27 11:50:27,No,No,No,Never,No,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,No
64,2014-08-27 11:50:28,No,No,No,NA,No,Yes,No,No,No,Don't know,Very easy,Yes,No,No,No,No,Yes
65,2014-08-27 11:50:46,No,No,No,Sometimes,No,Yes,No,No,No,Don't know,Somewhat easy,No,No,No,Maybe,Don't know,No
66,2014-08-27 11:51:07,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,No,No,No,Yes
67,2014-08-27 11:51:34,No,Yes,Yes,Often,Yes,Yes,Not sure,No,No,Don't know,Very easy,No,No,No,Maybe,Yes,No
68,2014-08-27 11:52:07,No,No,No,Sometimes,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Maybe,Yes,Yes,No
69,2014-08-27 11:52:41,No,No,No,NA,Yes,No,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
70,2014-08-27 11:52:44,Yes,No,No,Rarely,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
71,2014-08-27 11:53:05,No,No,No,Never,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
72,2014-08-27 11:53:25,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,No,No,Don't know,No
73,2014-08-27 11:54:27,No,No,No,Rarely,No,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,No,No,No
74,2014-08-27 11:56:17,No,No,No,NA,No,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No
75,2014-08-27 11:56:29,No,No,No,Never,No,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Yes,No
76,2014-08-27 11:57:30,No,No,No,NA,No,Yes,Yes,No,No,No,Somewhat difficult,Yes,No,No,Maybe,No,No
77,2014-08-27 11:57:33,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Maybe,Yes,Yes,No
78,2014-08-27 11:57:54,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Maybe,Maybe,Yes,No
79,2014-08-27 11:59:31,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,Don't know,Somewhat difficult,Yes,No,No,Yes,No,No
80,2014-08-27 12:00:02,No,No,No,Never,Yes,Yes,No,Don't know,Don't know,Don't know,Very easy,No,No,Maybe,Yes,Yes,No
81,2014-08-27 12:01:50,No,Yes,No,Sometimes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Maybe,Maybe,Yes,No
82,2014-08-27 12:02:40,No,No,No,Never,No,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Maybe,Maybe,Yes,No
83,2014-08-27 12:02:52,No,No,No,Never,No,No,No,No,No,Don't know,Don't know,No,No,No,No,No,No
84,2014-08-27 12:03:30,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,No,Maybe,Yes,No
85,2014-08-27 12:05:13,No,Yes,No,Never,No,Yes,No,No,No,Don't know,Don't know,Yes,No,No,Maybe,No,No
86,2014-08-27 12:05:37,No,No,No,NA,No,Yes,Not sure,No,No,Don't know,Don't know,No,No,Maybe,Maybe,No,No
87,2014-08-27 12:07:08,Yes,No,Yes,Often,No,Yes,No,No,No,Don't know,Very difficult,Maybe,No,No,Maybe,No,Yes
88,2014-08-27 12:10:43,No,Yes,Yes,Rarely,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,Don't know,No
89,2014-08-27 12:11:00,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Maybe,No,Yes
90,2014-08-27 12:11:07,No,No,No,NA,No,Yes,No,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No
91,2014-08-27 12:12:47,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,No,Yes,No
92,2014-08-27 12:13:30,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,No,No
93,2014-08-27 12:14:13,No,No,No,NA,No,Yes,No,No,No,Don't know,Somewhat easy,Maybe,No,No,Maybe,Don't know,No
94,2014-08-27 12:15:11,No,No,No,NA,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Don't know,No
95,2014-08-27 12:15:19,No,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
96,2014-08-27 12:15:30,No,No,No,Never,No,Yes,No,No,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,No,No
97,2014-08-27 12:16:21,No,Yes,No,Rarely,No,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Don't know,No
98,2014-08-27 12:17:01,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,No,No
99,2014-08-27 12:18:02,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,No,No,Maybe,No,No
100,2014-08-27 12:18:04,No,No,Yes,Often,No,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No
101,2014-08-27 12:18:14,No,Yes,Yes,Sometimes,No,No,Yes,No,No,No,Very difficult,Yes,No,No,Maybe,No,Yes
102,2014-08-27 12:18:38,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,No,Don't know,No
103,2014-08-27 12:19:52,No,Yes,No,NA,No,Yes,No,Don't know,Don't know,Don't know,Very easy,No,No,No,No,Don't know,No
104,2014-08-27 12:20:10,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No
105,2014-08-27 12:22:55,No,No,No,Never,No,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,No,No,No,Don't know,No
106,2014-08-27 12:23:48,No,Yes,No,Rarely,No,Yes,Not sure,No,No,Yes,Somewhat easy,No,No,No,No,Don't know,No
107,2014-08-27 12:23:59,No,Yes,Yes,Sometimes,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,No,Maybe,No,No
108,2014-08-27 12:25:09,No,Yes,Yes,Rarely,No,Yes,No,No,No,No,Don't know,Maybe,No,No,No,Don't know,Yes
109,2014-08-27 12:28:12,No,Yes,No,Never,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
110,2014-08-27 12:28:16,No,No,Yes,Sometimes,No,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,No,Maybe,Yes,No
111,2014-08-27 12:29:25,No,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,Yes,No,No
112,2014-08-27 12:31:02,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No
113,2014-08-27 12:31:03,No,Yes,Yes,Rarely,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No
114,2014-08-27 12:31:14,No,No,No,Never,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
115,2014-08-27 12:31:28,No,No,No,NA,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
116,2014-08-27 12:31:34,No,No,No,Never,No,Yes,No,No,Don't know,Don't know,Very easy,No,No,No,No,Don't know,Yes
117,2014-08-27 12:31:41,Yes,No,No,Often,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,Maybe,No,No
118,2014-08-27 12:31:41,No,No,No,Rarely,No,No,Yes,Yes,Yes,Yes,Very easy,Maybe,No,No,No,Don't know,No
119,2014-08-27 12:31:43,No,No,Yes,Rarely,Yes,Yes,No,No,No,Yes,Very easy,No,No,No,No,Don't know,No
120,2014-08-27 12:32:24,No,No,No,NA,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Don't know,No
121,2014-08-27 12:32:59,No,No,No,Never,No,Yes,Yes,No,Yes,Don't know,Don't know,Yes,Yes,No,No,Don't know,No
122,2014-08-27 12:33:00,No,No,No,NA,Yes,Yes,No,No,No,Don't know,Very easy,No,No,No,No,Don't know,No
123,2014-08-27 12:33:23,No,Yes,Yes,Sometimes,Yes,Yes,No,Don't know,Don't know,Yes,Very easy,No,No,No,Maybe,Yes,No
124,2014-08-27 12:33:36,No,No,No,Often,No,Yes,No,No,No,Yes,Don't know,Maybe,No,No,No,Don't know,No
125,2014-08-27 12:33:56,No,No,Yes,Never,No,No,Not sure,No,No,Don't know,Very difficult,Maybe,No,No,Maybe,No,Yes
126,2014-08-27 12:34:11,No,Yes,No,Never,No,Yes,No,Yes,Yes,Yes,Don't know,Yes,No,No,Yes,Don't know,No
127,2014-08-27 12:34:13,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,No,No,No,No,Don't know,No
128,2014-08-27 12:34:35,No,No,Yes,Rarely,No,Yes,Yes,No,Yes,Yes,Don't know,Yes,No,No,No,Don't know,No
129,2014-08-27 12:34:48,No,Yes,No,Sometimes,No,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,Yes,No
130,2014-08-27 12:34:51,No,No,Yes,Sometimes,No,Yes,No,No,No,Don't know,Somewhat easy,Yes,Yes,No,No,Don't know,No
131,2014-08-27 12:34:57,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Very easy,Maybe,No,No,Yes,No,No
132,2014-08-27 12:35:23,No,No,No,Rarely,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,No,No,Yes,Don't know,No
133,2014-08-27 12:36:03,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Don't know,No
134,2014-08-27 12:36:18,No,No,No,NA,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,No,No
135,2014-08-27 12:36:53,No,No,Yes,Never,No,Yes,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,Don't know,No
136,2014-08-27 12:37:09,No,No,No,Never,No,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,Don't know,No
137,2014-08-27 12:37:26,No,No,No,Never,No,Yes,No,No,No,Yes,Very easy,No,No,Maybe,Maybe,Yes,No
138,2014-08-27 12:37:31,No,No,Yes,Often,No,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,No,No,Don't know,No
139,2014-08-27 12:37:50,No,No,No,NA,No,Yes,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,Don't know,No
140,2014-08-27 12:37:50,No,No,No,NA,Yes,Yes,No,Don't know,No,Don't know,Somewhat easy,No,No,No,No,Don't know,No
141,2014-08-27 12:38:11,No,Yes,Yes,Sometimes,No,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
142,2014-08-27 12:38:18,Yes,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,No,Maybe,Yes,No
143,2014-08-27 12:38:25,No,No,No,Never,Yes,No,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,No,No,Maybe,Don't know,No
144,2014-08-27 12:39:14,No,No,No,NA,Yes,No,No,Don't know,Yes,Don't know,Don't know,No,No,No,No,Don't know,No
145,2014-08-27 12:39:18,No,Yes,No,NA,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Maybe,Don't know,No
146,2014-08-27 12:39:21,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,Don't know,No
147,2014-08-27 12:39:48,No,No,No,Never,No,Yes,No,No,No,Yes,Don't know,Maybe,Maybe,No,No,Don't know,No
148,2014-08-27 12:39:57,No,No,No,Sometimes,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No
149,2014-08-27 12:40:03,No,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No,No,No,No,Yes
150,2014-08-27 12:40:06,No,No,No,NA,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
151,2014-08-27 12:40:36,Yes,Yes,No,NA,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,Don't know,No
152,2014-08-27 12:40:53,No,Yes,No,Never,No,Yes,Not sure,No,No,Don't know,Very easy,No,No,No,Maybe,No,No
153,2014-08-27 12:41:04,No,No,No,Rarely,Yes,Yes,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,Yes,No
154,2014-08-27 12:41:20,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Don't know,No
155,2014-08-27 12:41:59,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,No,Yes,No,Yes
156,2014-08-27 12:42:24,No,Yes,Yes,Sometimes,No,No,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,Maybe,No,No
157,2014-08-27 12:42:52,No,Yes,Yes,Sometimes,No,Yes,No,No,Don't know,Don't know,Don't know,No,No,No,Maybe,Don't know,No
158,2014-08-27 12:43:28,No,No,No,Often,No,No,Not sure,No,No,Don't know,Don't know,Yes,Maybe,No,Maybe,No,No
159,2014-08-27 12:43:28,No,No,Yes,Rarely,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,Don't know,Yes
160,2014-08-27 12:43:40,No,Yes,Yes,Sometimes,No,Yes,Not sure,No,No,Don't know,Very easy,Maybe,No,No,No,Don't know,Yes
161,2014-08-27 12:43:53,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Maybe,Don't know,Yes
162,2014-08-27 12:44:51,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Don't know,Yes,Yes,No,No,Don't know,No
163,2014-08-27 12:44:51,No,No,No,Never,No,Yes,No,No,Yes,Don't know,Don't know,No,No,No,No,Don't know,No
164,2014-08-27 12:45:44,No,Yes,No,Rarely,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
165,2014-08-27 12:46:03,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Very difficult,No,No,No,Yes,Yes,No
166,2014-08-27 12:47:25,Yes,Yes,No,NA,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,No,Maybe,Yes,No
167,2014-08-27 12:48:06,No,No,No,Never,No,Yes,No,No,No,Don't know,Very easy,Maybe,No,No,Maybe,Don't know,No
168,2014-08-27 12:48:29,No,No,No,NA,No,Yes,Yes,No,No,Don't know,Very difficult,Maybe,No,No,Maybe,No,No
169,2014-08-27 12:48:37,Yes,Yes,No,Sometimes,No,Yes,No,No,No,Don't know,Very difficult,Yes,No,No,Maybe,No,No
170,2014-08-27 12:48:39,No,No,No,Rarely,No,Yes,Not sure,Yes,Don't know,Don't know,Very easy,Maybe,Maybe,No,Maybe,Don't know,No
171,2014-08-27 12:48:40,No,No,Yes,Sometimes,No,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,No,No,Don't know,No
172,2014-08-27 12:48:51,Yes,No,Yes,Often,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
173,2014-08-27 12:49:21,No,No,Yes,Never,No,Yes,Not sure,No,No,Don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,No
174,2014-08-27 12:49:27,No,No,No,NA,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Maybe,Yes,No
175,2014-08-27 12:49:30,No,Yes,Yes,Sometimes,No,No,Yes,Yes,No,Don't know,Somewhat easy,No,No,No,No,No,No
176,2014-08-27 12:49:39,No,No,No,Never,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
177,2014-08-27 12:50:36,No,No,No,NA,No,No,Not sure,No,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No
178,2014-08-27 12:50:57,No,No,Yes,Often,Yes,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,No,No,No,Yes,Yes
179,2014-08-27 12:51:25,No,No,Yes,Sometimes,No,Yes,No,No,No,Yes,Somewhat difficult,No,No,No,No,Yes,No
180,2014-08-27 12:51:36,No,No,No,NA,Yes,Yes,No,No,No,Don't know,Very easy,No,No,No,Maybe,Don't know,No
181,2014-08-27 12:51:42,No,No,No,Never,Yes,Yes,No,No,No,No,Don't know,Maybe,Maybe,Maybe,Yes,No,No
182,2014-08-27 12:51:50,Yes,No,No,Sometimes,No,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,Don't know,No
183,2014-08-27 12:51:51,No,No,No,Never,No,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,Maybe,Maybe,Don't know,No
184,2014-08-27 12:51:55,No,No,Yes,Sometimes,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Yes,No,No,Don't know,No
185,2014-08-27 12:52:08,No,Yes,Yes,Often,Yes,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,No
186,2014-08-27 12:52:46,No,No,No,NA,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,Maybe,Yes,No,No
187,2014-08-27 12:52:49,No,No,No,Sometimes,No,Yes,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No
188,2014-08-27 12:53:00,No,No,No,NA,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,No,No,No,Maybe,Yes,No
189,2014-08-27 12:53:05,No,Yes,No,NA,Yes,Yes,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,Don't know,No
